Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,day,year,month
2013-12-18,23.31,24.48,23.3,23.66,276400,0,0,18,2013,12
2013-12-19,23.82,25.69,23.3,23.96,250800,0,0,19,2013,12
2013-12-20,24.0,24.59,23.59,24.08,1490600,0,0,20,2013,12
2013-12-23,25.24,25.25,23.83,23.86,113800,0,0,23,2013,12
2013-12-24,23.8,23.86,23.24,23.4,51500,0,0,24,2013,12
2013-12-26,23.56,23.62,22.17,22.44,175700,0,0,26,2013,12
2013-12-27,22.54,22.78,21.41,22.1,103200,0,0,27,2013,12
2013-12-30,21.88,23.19,21.13,22.08,99800,0,0,30,2013,12
2013-12-31,22.2,23.14,21.74,22.92,116400,0,0,31,2013,12
2014-01-02,23.93,24.08,22.87,23.01,158100,0,0,02,2014,1
2014-01-03,23.12,23.13,22.13,22.73,36300,0,0,03,2014,1
2014-01-06,22.99,24.03,22.56,22.74,84400,0,0,06,2014,1
2014-01-07,21.56,23.18,21.56,22.73,55500,0,0,07,2014,1
2014-01-08,22.72,23.72,22.06,22.15,55900,0,0,08,2014,1
2014-01-09,22.29,22.58,21.21,21.73,51500,0,0,09,2014,1
2014-01-10,21.82,22.99,21.45,21.58,61200,0,0,10,2014,1
2014-01-13,21.4,21.61,21.13,21.57,45400,0,0,13,2014,1
2014-01-14,21.55,23.82,21.52,23.01,119300,0,0,14,2014,1
2014-01-15,23.17,25.96,23.17,24.19,261800,0,0,15,2014,1
2014-01-16,24.28,25.98,24.28,25.8,174000,0,0,16,2014,1
2014-01-17,25.88,28.75,25.88,27.01,237300,0,0,17,2014,1
2014-01-21,27.32,28.25,26.79,27.31,102100,0,0,21,2014,1
2014-01-22,27.59,32.35,27.59,31.8,221900,0,0,22,2014,1
2014-01-23,31.79,32.19,29.71,31.01,166200,0,0,23,2014,1
2014-01-24,31.02,31.25,30.3,30.54,140000,0,0,24,2014,1
2014-01-27,30.53,31.0,29.6,29.93,144200,0,0,27,2014,1
2014-01-28,29.77,30.86,29.77,29.99,100700,0,0,28,2014,1
2014-01-29,30.0,32.21,29.75,31.28,164000,0,0,29,2014,1
2014-01-30,31.42,33.77,30.46,33.05,103700,0,0,30,2014,1
2014-01-31,32.64,35.62,32.63,34.91,178800,0,0,31,2014,1
2014-02-03,33.64,35.73,33.0,34.07,150500,0,0,03,2014,2
2014-02-04,34.11,34.74,33.78,34.0,102100,0,0,04,2014,2
2014-02-05,33.99,35.84,31.28,31.74,308200,0,0,05,2014,2
2014-02-06,31.84,32.79,31.25,31.83,76300,0,0,06,2014,2
2014-02-07,31.81,33.25,30.2,33.13,78300,0,0,07,2014,2
2014-02-10,32.24,34.24,32.24,33.71,87700,0,0,10,2014,2
2014-02-11,33.95,35.5,33.95,34.76,100400,0,0,11,2014,2
2014-02-12,34.9,35.99,34.74,35.62,82200,0,0,12,2014,2
2014-02-13,35.19,37.74,35.07,36.94,106100,0,0,13,2014,2
2014-02-14,36.99,37.03,35.44,36.08,104600,0,0,14,2014,2
2014-02-18,36.3,36.8,35.6,35.85,175100,0,0,18,2014,2
2014-02-19,35.95,36.19,34.48,35.33,114200,0,0,19,2014,2
2014-02-20,35.4,37.25,35.24,36.99,162800,0,0,20,2014,2
2014-02-21,37.34,39.03,36.91,37.81,135300,0,0,21,2014,2
2014-02-24,37.64,39.75,37.43,39.35,121100,0,0,24,2014,2
2014-02-25,39.71,40.79,39.42,39.91,85200,0,0,25,2014,2
2014-02-26,40.39,41.14,40.05,40.7,127700,0,0,26,2014,2
2014-02-27,41.21,42.19,40.26,41.06,142100,0,0,27,2014,2
2014-02-28,41.51,41.75,39.29,40.14,127100,0,0,28,2014,2
2014-03-03,39.88,40.0,38.7,39.06,109500,0,0,03,2014,3
2014-03-04,40.04,41.98,39.75,41.67,100200,0,0,04,2014,3
2014-03-05,43.93,44.19,37.48,37.99,209600,0,0,05,2014,3
2014-03-06,41.29,47.87,39.96,43.28,706500,0,0,06,2014,3
2014-03-07,43.33,46.11,42.11,42.23,221900,0,0,07,2014,3
2014-03-10,42.31,43.0,41.33,42.87,60400,0,0,10,2014,3
2014-03-11,43.12,43.2,40.4,41.15,173400,0,0,11,2014,3
2014-03-12,41.25,41.25,39.75,40.37,136300,0,0,12,2014,3
2014-03-13,40.74,40.77,38.91,39.42,108300,0,0,13,2014,3
2014-03-14,39.61,40.73,39.31,40.04,73600,0,0,14,2014,3
2014-03-17,40.54,40.98,40.18,40.41,55900,0,0,17,2014,3
2014-03-18,40.68,42.79,40.27,42.63,97100,0,0,18,2014,3
2014-03-19,42.97,43.4,41.75,42.03,68700,0,0,19,2014,3
2014-03-20,42.18,42.75,41.8,42.56,155200,0,0,20,2014,3
2014-03-21,42.95,43.4,41.26,42.07,164500,0,0,21,2014,3
2014-03-24,42.01,42.01,33.0,36.14,575800,0,0,24,2014,3
2014-03-25,36.45,37.75,34.73,34.93,200000,0,0,25,2014,3
2014-03-26,35.43,35.43,31.89,32.01,182000,0,0,26,2014,3
2014-03-27,32.01,33.0,30.78,31.51,203900,0,0,27,2014,3
2014-03-28,31.56,32.0,30.01,30.96,234500,0,0,28,2014,3
2014-03-31,31.33,31.4,30.64,30.89,148300,0,0,31,2014,3
2014-04-01,31.19,32.3,31.15,31.92,125700,0,0,01,2014,4
2014-04-02,32.12,32.38,31.42,32.33,230100,0,0,02,2014,4
2014-04-03,32.52,34.05,31.6,32.0,178600,0,0,03,2014,4
2014-04-04,32.14,32.5,29.25,29.74,205400,0,0,04,2014,4
2014-04-07,29.52,30.98,28.38,28.99,174900,0,0,07,2014,4
2014-04-08,29.35,33.68,29.35,33.33,266200,0,0,08,2014,4
2014-04-09,33.33,37.23,32.95,36.79,241200,0,0,09,2014,4
2014-04-10,36.63,37.01,33.77,35.01,398700,0,0,10,2014,4
2014-04-11,34.73,37.18,33.0,34.31,341300,0,0,11,2014,4
2014-04-14,34.57,35.75,33.97,34.45,269900,0,0,14,2014,4
2014-04-15,34.51,34.99,29.22,32.35,547300,0,0,15,2014,4
2014-04-16,32.74,32.94,31.77,32.4,152800,0,0,16,2014,4
2014-04-17,32.4,32.88,30.75,31.09,123300,0,0,17,2014,4
2014-04-21,31.31,32.5,28.94,29.58,326100,0,0,21,2014,4
2014-04-22,29.88,30.48,27.59,28.16,361400,0,0,22,2014,4
2014-04-23,28.1,28.65,27.81,28.16,172100,0,0,23,2014,4
2014-04-24,28.51,29.4,27.45,27.56,199800,0,0,24,2014,4
2014-04-25,27.51,28.33,25.45,25.63,269200,0,0,25,2014,4
2014-04-28,25.62,26.27,23.86,25.13,135300,0,0,28,2014,4
2014-04-29,25.19,25.7,24.83,25.44,80300,0,0,29,2014,4
2014-04-30,26.24,26.83,24.95,26.83,134600,0,0,30,2014,4
2014-05-01,26.64,27.43,26.24,26.72,74500,0,0,01,2014,5
2014-05-02,26.9,27.14,26.26,26.65,71800,0,0,02,2014,5
2014-05-05,26.5,29.47,26.38,29.14,129900,0,0,05,2014,5
2014-05-06,28.73,28.89,27.57,27.84,164000,0,0,06,2014,5
2014-05-07,27.85,28.3,25.68,26.36,247800,0,0,07,2014,5
2014-05-08,26.03,26.52,25.05,25.84,206200,0,0,08,2014,5
2014-05-09,25.76,27.18,25.65,26.59,234400,0,0,09,2014,5
2014-05-12,26.71,28.44,26.52,27.99,108600,0,0,12,2014,5
2014-05-13,27.8,28.51,26.27,26.34,174500,0,0,13,2014,5
2014-05-14,26.39,28.18,26.26,26.7,152800,0,0,14,2014,5
2014-05-15,26.61,28.28,25.25,26.02,219200,0,0,15,2014,5
2014-05-16,26.0,27.71,25.34,26.13,147300,0,0,16,2014,5
2014-05-19,26.22,27.37,25.9,26.51,193600,0,0,19,2014,5
2014-05-20,26.51,27.05,25.93,26.17,245400,0,0,20,2014,5
2014-05-21,26.32,26.34,25.62,26.23,293200,0,0,21,2014,5
2014-05-22,26.43,26.5,25.75,26.04,213400,0,0,22,2014,5
2014-05-23,25.99,26.74,25.57,26.43,84900,0,0,23,2014,5
2014-05-27,26.76,28.02,26.51,27.44,405200,0,0,27,2014,5
2014-05-28,27.45,28.07,26.8,27.03,117200,0,0,28,2014,5
2014-05-29,27.01,27.25,25.92,26.01,373900,0,0,29,2014,5
2014-05-30,25.95,26.89,25.5,26.25,234700,0,0,30,2014,5
2014-06-02,27.29,27.56,25.27,26.48,348700,0,0,02,2014,6
2014-06-03,26.29,26.58,25.79,26.12,185400,0,0,03,2014,6
2014-06-04,25.91,26.7,25.91,26.42,106200,0,0,04,2014,6
2014-06-05,26.6,27.07,26.07,26.51,123900,0,0,05,2014,6
2014-06-06,26.74,26.74,25.05,25.17,248200,0,0,06,2014,6
2014-06-09,25.0,25.39,24.77,25.26,277900,0,0,09,2014,6
2014-06-10,25.05,25.31,24.47,24.67,219700,0,0,10,2014,6
2014-06-11,24.35,25.19,24.02,24.6,311600,0,0,11,2014,6
2014-06-12,24.56,24.85,24.07,24.35,127800,0,0,12,2014,6
2014-06-13,24.5,47.98,24.4,47.12,5925300,0,0,13,2014,6
2014-06-16,43.44,44.48,39.64,41.22,2828200,0,0,16,2014,6
2014-06-17,39.5,44.9,39.5,44.73,677200,0,0,17,2014,6
2014-06-18,43.9,44.53,41.87,42.7,406500,0,0,18,2014,6
2014-06-19,40.35,42.88,40.2,42.59,337500,0,0,19,2014,6
2014-06-20,42.4,42.65,40.6,42.37,437700,0,0,20,2014,6
2014-06-23,42.2,43.99,41.2,43.11,263400,0,0,23,2014,6
2014-06-24,42.62,43.74,41.3,41.37,270700,0,0,24,2014,6
2014-06-25,41.37,43.17,41.0,42.98,192500,0,0,25,2014,6
2014-06-26,42.75,43.82,42.06,43.4,316000,0,0,26,2014,6
2014-06-27,42.85,45.9,42.72,45.55,2164200,0,0,27,2014,6
2014-06-30,45.48,46.97,44.23,46.55,382800,0,0,30,2014,6
2014-07-01,46.13,47.89,43.21,44.15,794800,0,0,01,2014,7
2014-07-02,43.94,46.1,43.33,45.08,268100,0,0,02,2014,7
2014-07-03,45.0,45.0,42.45,42.99,257000,0,0,03,2014,7
2014-07-07,42.76,43.25,41.5,41.83,877900,0,0,07,2014,7
2014-07-08,40.84,40.84,36.0,36.04,910200,0,0,08,2014,7
2014-07-09,36.0,38.69,35.72,38.01,378200,0,0,09,2014,7
2014-07-10,37.25,38.0,36.83,37.57,279200,0,0,10,2014,7
2014-07-11,37.45,37.82,36.19,36.58,192500,0,0,11,2014,7
2014-07-14,36.9,37.42,36.47,37.12,214900,0,0,14,2014,7
2014-07-15,36.98,37.36,34.13,35.53,569200,0,0,15,2014,7
2014-07-16,35.64,37.21,34.94,35.07,320800,0,0,16,2014,7
2014-07-17,34.58,35.14,32.97,33.35,292800,0,0,17,2014,7
2014-07-18,33.28,35.88,33.28,34.85,323400,0,0,18,2014,7
2014-07-21,34.62,35.04,34.0,34.1,126900,0,0,21,2014,7
2014-07-22,34.59,36.77,33.96,36.07,200200,0,0,22,2014,7
2014-07-23,36.02,37.09,34.4,35.03,425500,0,0,23,2014,7
2014-07-24,35.48,36.91,35.48,36.56,194000,0,0,24,2014,7
2014-07-25,36.08,37.45,36.07,36.58,173700,0,0,25,2014,7
2014-07-28,36.58,36.6,34.68,34.92,172400,0,0,28,2014,7
2014-07-29,35.16,36.05,34.45,35.94,225100,0,0,29,2014,7
2014-07-30,36.33,36.77,35.4,35.97,221400,0,0,30,2014,7
2014-07-31,35.29,36.2,34.38,34.69,252200,0,0,31,2014,7
2014-08-01,34.74,35.44,33.26,33.6,170800,0,0,01,2014,8
2014-08-04,34.01,35.36,33.29,35.09,160200,0,0,04,2014,8
2014-08-05,34.66,37.65,34.1,36.02,351200,0,0,05,2014,8
2014-08-06,35.28,36.53,35.03,36.31,197400,0,0,06,2014,8
2014-08-07,36.28,36.28,34.52,35.48,317400,0,0,07,2014,8
2014-08-08,35.36,35.8,34.32,35.52,171400,0,0,08,2014,8
2014-08-11,35.94,37.85,35.72,37.51,197900,0,0,11,2014,8
2014-08-12,37.4,38.21,37.22,37.38,164100,0,0,12,2014,8
2014-08-13,37.8,37.99,36.75,37.31,180100,0,0,13,2014,8
2014-08-14,37.28,38.11,37.28,37.78,122500,0,0,14,2014,8
2014-08-15,38.41,39.6,37.53,38.81,160300,0,0,15,2014,8
2014-08-18,39.55,39.85,37.69,38.18,88600,0,0,18,2014,8
2014-08-19,38.09,38.53,37.11,37.53,81600,0,0,19,2014,8
2014-08-20,37.05,37.33,36.18,36.53,136000,0,0,20,2014,8
2014-08-21,36.6,37.18,35.66,36.65,99400,0,0,21,2014,8
2014-08-22,36.46,36.57,35.13,36.32,140000,0,0,22,2014,8
2014-08-25,36.62,38.39,36.59,37.79,83900,0,0,25,2014,8
2014-08-26,37.75,39.19,37.75,38.81,132100,0,0,26,2014,8
2014-08-27,39.11,39.4,37.69,37.85,169200,0,0,27,2014,8
2014-08-28,37.7,38.12,36.02,36.06,49500,0,0,28,2014,8
2014-08-29,36.05,36.17,35.52,36.0,107400,0,0,29,2014,8
2014-09-02,36.06,36.75,35.73,36.6,100200,0,0,02,2014,9
2014-09-03,36.76,37.28,36.26,36.71,216100,0,0,03,2014,9
2014-09-04,36.81,38.24,36.56,37.46,155100,0,0,04,2014,9
2014-09-05,37.33,38.36,37.33,37.98,118200,0,0,05,2014,9
2014-09-08,38.06,40.71,37.83,40.36,192200,0,0,08,2014,9
2014-09-09,40.25,40.93,39.1,39.73,195400,0,0,09,2014,9
2014-09-10,39.69,39.69,38.76,39.21,76800,0,0,10,2014,9
2014-09-11,38.94,41.0,38.94,40.95,173300,0,0,11,2014,9
2014-09-12,41.06,41.49,39.96,40.56,199000,0,0,12,2014,9
2014-09-15,40.6,40.6,38.37,39.06,120200,0,0,15,2014,9
2014-09-16,38.79,39.72,37.85,38.99,138700,0,0,16,2014,9
2014-09-17,38.78,40.8,38.32,39.62,152400,0,0,17,2014,9
2014-09-18,39.73,40.77,39.18,39.7,122700,0,0,18,2014,9
2014-09-19,39.9,40.4,38.76,39.57,1036700,0,0,19,2014,9
2014-09-22,39.23,39.45,37.58,38.74,144700,0,0,22,2014,9
2014-09-23,38.39,40.1,38.39,39.27,208000,0,0,23,2014,9
2014-09-24,39.52,40.74,39.13,39.36,183300,0,0,24,2014,9
2014-09-25,39.23,39.61,38.02,38.1,84600,0,0,25,2014,9
2014-09-26,38.18,44.22,38.07,42.1,1092500,0,0,26,2014,9
2014-09-29,38.5,40.39,37.02,38.38,296400,0,0,29,2014,9
2014-09-30,38.15,38.15,34.76,34.94,379500,0,0,30,2014,9
2014-10-01,34.79,35.47,31.55,32.59,477100,0,0,01,2014,10
2014-10-02,32.13,33.98,31.57,33.79,378600,0,0,02,2014,10
2014-10-03,34.09,34.24,32.81,33.09,145600,0,0,03,2014,10
2014-10-06,33.19,34.64,33.0,33.18,167700,0,0,06,2014,10
2014-10-07,34.17,34.17,31.97,32.32,245500,0,0,07,2014,10
2014-10-08,32.17,34.12,31.44,33.79,163800,0,0,08,2014,10
2014-10-09,33.56,33.97,31.71,32.15,207100,0,0,09,2014,10
2014-10-10,31.9,31.9,29.35,30.47,587700,0,0,10,2014,10
2014-10-13,30.44,32.5,29.62,30.69,218500,0,0,13,2014,10
2014-10-14,31.04,32.73,29.84,31.1,164800,0,0,14,2014,10
2014-10-15,30.38,31.05,29.3,30.7,301900,0,0,15,2014,10
2014-10-16,30.03,33.13,29.24,32.66,221700,0,0,16,2014,10
2014-10-17,33.22,33.9,32.88,33.28,191900,0,0,17,2014,10
2014-10-20,32.86,35.15,32.84,35.01,230400,0,0,20,2014,10
2014-10-21,35.43,35.87,34.0,34.24,256900,0,0,21,2014,10
2014-10-22,34.56,34.9,33.51,33.6,178100,0,0,22,2014,10
2014-10-23,34.07,36.5,34.0,35.12,181300,0,0,23,2014,10
2014-10-24,35.15,36.51,35.15,35.72,170000,0,0,24,2014,10
2014-10-27,35.19,36.56,35.0,36.42,149800,0,0,27,2014,10
2014-10-28,36.59,38.11,35.92,38.03,251800,0,0,28,2014,10
2014-10-29,38.22,40.57,37.83,39.81,287100,0,0,29,2014,10
2014-10-30,39.74,40.87,39.12,40.05,262400,0,0,30,2014,10
2014-10-31,41.32,42.83,40.66,41.08,354400,0,0,31,2014,10
2014-11-03,41.08,43.37,40.7,43.3,259200,0,0,03,2014,11
2014-11-04,42.99,43.5,40.15,40.4,404800,0,0,04,2014,11
2014-11-05,41.2,41.56,37.3,37.71,304200,0,0,05,2014,11
2014-11-06,38.81,43.87,38.76,41.73,859800,0,0,06,2014,11
2014-11-07,40.9,42.44,38.4,42.14,335200,0,0,07,2014,11
2014-11-10,43.01,45.68,42.03,42.68,438400,0,0,10,2014,11
2014-11-11,42.5,43.12,41.5,43.0,197400,0,0,11,2014,11
2014-11-12,42.5,44.31,41.7,42.41,211400,0,0,12,2014,11
2014-11-13,42.33,43.21,40.32,40.43,214700,0,0,13,2014,11
2014-11-14,40.25,40.39,39.07,39.77,193300,0,0,14,2014,11
2014-11-17,39.43,41.27,39.43,40.78,111800,0,0,17,2014,11
2014-11-18,40.93,41.27,39.99,40.71,161300,0,0,18,2014,11
2014-11-19,40.45,40.53,39.55,39.95,261100,0,0,19,2014,11
2014-11-20,39.52,41.89,39.52,41.8,101000,0,0,20,2014,11
2014-11-21,42.7,42.7,40.72,41.21,237500,0,0,21,2014,11
2014-11-24,41.17,42.47,41.01,42.42,222600,0,0,24,2014,11
2014-11-25,42.55,44.16,41.89,42.1,454200,0,0,25,2014,11
2014-11-26,41.9,43.07,41.64,42.42,392500,0,0,26,2014,11
2014-11-28,42.5,42.81,41.69,41.88,129700,0,0,28,2014,11
2014-12-01,41.9,42.58,41.55,42.25,397300,0,0,01,2014,12
2014-12-02,42.31,46.0,41.97,43.85,424900,0,0,02,2014,12
2014-12-03,43.91,46.01,43.87,45.58,216800,0,0,03,2014,12
2014-12-04,45.54,46.46,44.45,45.03,174400,0,0,04,2014,12
2014-12-05,45.17,46.99,44.55,44.84,187800,0,0,05,2014,12
2014-12-08,44.49,49.01,42.41,45.91,846500,0,0,08,2014,12
2014-12-09,47.54,47.87,40.47,41.34,1204100,0,0,09,2014,12
2014-12-10,40.4,41.98,35.94,37.48,742800,0,0,10,2014,12
2014-12-11,37.52,38.0,33.21,33.5,707100,0,0,11,2014,12
2014-12-12,33.05,36.8,33.05,34.85,511900,0,0,12,2014,12
2014-12-15,35.27,35.35,31.71,31.89,437200,0,0,15,2014,12
2014-12-16,31.58,33.28,31.02,31.07,400500,0,0,16,2014,12
2014-12-17,30.55,32.73,30.09,32.61,320600,0,0,17,2014,12
2014-12-18,33.24,36.34,32.95,36.12,375200,0,0,18,2014,12
2014-12-19,36.13,39.03,35.94,38.55,1528100,0,0,19,2014,12
2014-12-22,38.0,39.54,37.84,39.09,276500,0,0,22,2014,12
2014-12-23,39.22,39.68,36.34,36.5,329300,0,0,23,2014,12
2014-12-24,36.76,37.81,36.5,37.78,97800,0,0,24,2014,12
2014-12-26,38.19,38.71,37.97,38.49,94100,0,0,26,2014,12
2014-12-29,38.71,39.26,36.85,37.79,177700,0,0,29,2014,12
2014-12-30,37.74,37.8,35.8,35.96,173200,0,0,30,2014,12
2014-12-31,36.0,38.38,36.0,37.43,218400,0,0,31,2014,12
2015-01-02,37.84,38.47,36.68,37.99,189900,0,0,02,2015,1
2015-01-05,37.53,37.96,35.76,35.97,297900,0,0,05,2015,1
2015-01-06,35.97,36.53,33.07,33.47,423000,0,0,06,2015,1
2015-01-07,32.5,32.6,30.53,30.96,2638300,0,0,07,2015,1
2015-01-08,31.78,32.15,31.42,32.01,947400,0,0,08,2015,1
2015-01-09,32.0,32.35,31.6,32.04,441800,0,0,09,2015,1
2015-01-12,32.04,32.23,29.47,29.9,618100,0,0,12,2015,1
2015-01-13,30.16,30.85,28.01,28.45,533600,0,0,13,2015,1
2015-01-14,28.0,29.22,27.71,28.06,353800,0,0,14,2015,1
2015-01-15,28.49,28.97,27.5,27.76,399600,0,0,15,2015,1
2015-01-16,27.61,28.12,26.52,26.65,501100,0,0,16,2015,1
2015-01-20,27.02,27.97,25.95,26.0,510700,0,0,20,2015,1
2015-01-21,26.0,26.95,25.14,25.62,482300,0,0,21,2015,1
2015-01-22,25.82,26.44,24.35,26.34,642800,0,0,22,2015,1
2015-01-23,26.37,27.76,26.07,27.66,465000,0,0,23,2015,1
2015-01-26,27.53,28.98,27.32,28.6,506700,0,0,26,2015,1
2015-01-27,28.2,29.12,27.91,28.32,162000,0,0,27,2015,1
2015-01-28,28.34,28.78,26.5,26.67,243800,0,0,28,2015,1
2015-01-29,26.9,27.2,26.0,26.83,167500,0,0,29,2015,1
2015-01-30,26.53,27.19,26.41,26.53,371000,0,0,30,2015,1
2015-02-02,26.69,26.69,25.49,26.45,269600,0,0,02,2015,2
2015-02-03,26.51,26.99,26.14,26.86,389400,0,0,03,2015,2
2015-02-04,26.54,27.23,25.35,26.59,330600,0,0,04,2015,2
2015-02-05,26.78,29.71,26.48,28.26,480200,0,0,05,2015,2
2015-02-06,28.4,28.44,26.9,26.99,213800,0,0,06,2015,2
2015-02-09,26.83,27.77,26.79,26.97,185800,0,0,09,2015,2
2015-02-10,27.3,27.36,26.28,26.61,314400,0,0,10,2015,2
2015-02-11,26.41,27.24,26.11,26.6,230100,0,0,11,2015,2
2015-02-12,26.81,27.39,26.56,27.25,254400,0,0,12,2015,2
2015-02-13,27.39,27.7,26.68,27.12,235300,0,0,13,2015,2
2015-02-17,27.24,27.61,26.97,27.25,177500,0,0,17,2015,2
2015-02-18,27.23,28.54,27.13,27.8,252900,0,0,18,2015,2
2015-02-19,27.87,28.46,27.69,27.77,191700,0,0,19,2015,2
2015-02-20,27.89,28.29,27.5,27.55,177500,0,0,20,2015,2
2015-02-23,28.07,29.5,27.11,28.41,373100,0,0,23,2015,2
2015-02-24,28.67,29.35,27.85,28.1,201400,0,0,24,2015,2
2015-02-25,28.44,28.57,27.37,27.97,350500,0,0,25,2015,2
2015-02-26,28.07,28.83,27.51,27.96,252700,0,0,26,2015,2
2015-02-27,28.0,28.25,27.07,27.26,180100,0,0,27,2015,2
2015-03-02,27.36,27.92,27.12,27.64,178000,0,0,02,2015,3
2015-03-03,27.67,28.03,27.01,27.09,303700,0,0,03,2015,3
2015-03-04,27.27,27.51,26.7,27.04,365000,0,0,04,2015,3
2015-03-05,27.34,28.64,27.03,27.97,493200,0,0,05,2015,3
2015-03-06,27.69,28.1,26.86,27.01,267200,0,0,06,2015,3
2015-03-09,27.16,27.16,25.0,26.29,353300,0,0,09,2015,3
2015-03-10,25.99,26.6,25.13,26.25,213700,0,0,10,2015,3
2015-03-11,26.5,28.57,25.65,28.33,592000,0,0,11,2015,3
2015-03-12,28.35,28.85,28.03,28.72,368300,0,0,12,2015,3
2015-03-13,28.78,29.19,27.4,28.08,327300,0,0,13,2015,3
2015-03-16,28.0,31.67,27.41,31.56,784400,0,0,16,2015,3
2015-03-17,32.3,34.6,31.13,34.45,939600,0,0,17,2015,3
2015-03-18,34.14,34.41,31.27,31.79,553500,0,0,18,2015,3
2015-03-19,32.01,33.1,31.87,33.05,348400,0,0,19,2015,3
2015-03-20,33.38,33.9,31.35,31.44,986300,0,0,20,2015,3
2015-03-23,31.32,31.35,29.62,30.84,314200,0,0,23,2015,3
2015-03-24,31.0,32.06,30.05,30.29,280700,0,0,24,2015,3
2015-03-25,30.59,30.6,29.01,29.4,402200,0,0,25,2015,3
2015-03-26,29.0,29.52,27.89,29.07,340400,0,0,26,2015,3
2015-03-27,28.95,30.0,28.95,29.74,149600,0,0,27,2015,3
2015-03-30,30.03,31.05,29.56,30.91,177400,0,0,30,2015,3
2015-03-31,30.8,31.38,30.07,30.61,307100,0,0,31,2015,3
2015-04-01,30.56,30.65,29.07,30.16,365300,0,0,01,2015,4
2015-04-02,30.22,30.34,28.78,29.45,484700,0,0,02,2015,4
2015-04-06,29.43,30.5,29.18,29.71,319500,0,0,06,2015,4
2015-04-07,31.06,33.84,30.6,31.22,698300,0,0,07,2015,4
2015-04-08,31.34,32.48,31.05,31.91,280400,0,0,08,2015,4
2015-04-09,32.41,33.25,31.0,31.41,457000,0,0,09,2015,4
2015-04-10,31.51,32.16,31.1,32.08,183200,0,0,10,2015,4
2015-04-13,32.21,33.89,32.21,33.27,209600,0,0,13,2015,4
2015-04-14,33.17,33.5,32.74,33.31,189100,0,0,14,2015,4
2015-04-15,33.65,33.97,32.42,33.86,241000,0,0,15,2015,4
2015-04-16,33.75,35.65,33.44,34.83,311800,0,0,16,2015,4
2015-04-17,34.55,34.92,33.27,33.79,431200,0,0,17,2015,4
2015-04-20,34.04,34.47,31.85,33.0,276400,0,0,20,2015,4
2015-04-21,33.52,33.7,32.69,32.84,148800,0,0,21,2015,4
2015-04-22,33.0,33.47,31.76,32.24,303200,0,0,22,2015,4
2015-04-23,32.02,32.75,31.49,32.62,172500,0,0,23,2015,4
2015-04-24,32.51,32.53,30.9,31.49,223800,0,0,24,2015,4
2015-04-27,31.74,31.74,28.95,29.46,390400,0,0,27,2015,4
2015-04-28,29.44,29.44,27.17,28.48,338500,0,0,28,2015,4
2015-04-29,28.24,28.9,27.6,28.5,149700,0,0,29,2015,4
2015-04-30,28.05,28.74,26.53,27.16,263000,0,0,30,2015,4
2015-05-01,27.46,29.07,27.25,29.02,260500,0,0,01,2015,5
2015-05-04,28.89,30.54,28.89,29.96,281700,0,0,04,2015,5
2015-05-05,29.69,30.31,29.56,29.78,448400,0,0,05,2015,5
2015-05-06,29.75,30.13,28.24,28.81,275400,0,0,06,2015,5
